date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:14:39	3837/3837	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2267aa3e8c20671ee7272d229fa7e35f7a%22	https://docy.farmui.com/robots.txt		(from )
20:14:40	1626732/1626732	---MCZ	200	added ('OK')	text/html	etag:W/%225158b02a4cd31f78aff2bc4274df0939%22	https://docy.farmui.com/	C:/Users/pheldevbaba/Desktop/websiteler/5/docy.farmui.com/index.html	(from )
20:14:40	124544/124544	---MCZ	200	added ('OK')	font/ttf	etag:W/%228e8ae89cf243d3d79b7404594c4bc9fb%22	https://docy.farmui.com/_next/static/media/49ee451642dd5174-s.p.ttf	C:/Users/pheldevbaba/Desktop/websiteler/5/docy.farmui.com/_next/static/media/49ee451642dd5174-s.p.ttf	(from https://docy.farmui.com/)
20:14:40	1837/1837	---M--	200	added ('OK')	image/avif	date:Tue,%2004%20Jun%202024%2014:02:20%20GMT	https://assets.basehub.com/fa068a12/uXVXN7g1Fc2EjO8OWn0HG/09.png?width=64&quality=90&format=auto	C:/Users/pheldevbaba/Desktop/websiteler/5/assets.basehub.com/fa068a12/uXVXN7g1Fc2EjO8OWn0HG/09409b.png	(from https://docy.farmui.com/)
20:14:41	432/432	---M--	200	added ('OK')	text/css	etag:%226ff6e696d14ab3af17183b7bf70a6018%22	https://docy.farmui.com/_next/static/css/0c7f5c8e8e533f44.css	C:/Users/pheldevbaba/Desktop/websiteler/5/docy.farmui.com/_next/static/css/0c7f5c8e8e533f44.css	(from https://docy.farmui.com/)
20:14:41	95303/95303	---MCZ	200	added ('OK')	text/css	etag:W/%22e51f302c9b432f6d43cf7e5675932a9f%22	https://docy.farmui.com/_next/static/css/f7397833ce256800.css	C:/Users/pheldevbaba/Desktop/websiteler/5/docy.farmui.com/_next/static/css/f7397833ce256800.css	(from https://docy.farmui.com/)
20:14:42	3980/3980	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ac8669cdb437dd7b756959fb9a6bc0b6%22	https://docy.farmui.com/_next/static/chunks/webpack-d7a82dfffec75bb7.js	C:/Users/pheldevbaba/Desktop/websiteler/5/docy.farmui.com/_next/static/chunks/webpack-d7a82dfffec75bb7.js	(from https://docy.farmui.com/)
20:14:42	172831/172831	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dccd282039ad7e8c9df47b2fd2fbd326%22	https://docy.farmui.com/_next/static/chunks/f14ca715-3b6e8879847075a3.js	C:/Users/pheldevbaba/Desktop/websiteler/5/docy.farmui.com/_next/static/chunks/f14ca715-3b6e8879847075a3.js	(from https://docy.farmui.com/)
20:14:42	123385/123385	---MCZ	200	added ('OK')	application/javascript	etag:W/%223043675b0b0f3fbe1bf363358dbf99af%22	https://docy.farmui.com/_next/static/chunks/465-292c6c7e635b3922.js	C:/Users/pheldevbaba/Desktop/websiteler/5/docy.farmui.com/_next/static/chunks/465-292c6c7e635b3922.js	(from https://docy.farmui.com/)
20:14:43	461/461	---M--	200	added ('OK')	application/javascript	etag:%22098f7162894a6484eade7a4b4b8179c2%22	https://docy.farmui.com/_next/static/chunks/main-app-ce3d124fb4b4a678.js	C:/Users/pheldevbaba/Desktop/websiteler/5/docy.farmui.com/_next/static/chunks/main-app-ce3d124fb4b4a678.js	(from https://docy.farmui.com/)
20:14:43	20542/20542	---MCZ	200	added ('OK')	application/javascript	etag:W/%227809e003c69fd17bd6e272e98cea14f4%22	https://docy.farmui.com/_next/static/chunks/618-e51792faea79a39d.js	C:/Users/pheldevbaba/Desktop/websiteler/5/docy.farmui.com/_next/static/chunks/618-e51792faea79a39d.js	(from https://docy.farmui.com/)
20:14:44	45718/45718	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d30676e82df1759763b896fce70db73b%22	https://docy.farmui.com/_next/static/chunks/570-ab9ee973ee340b3e.js	C:/Users/pheldevbaba/Desktop/websiteler/5/docy.farmui.com/_next/static/chunks/570-ab9ee973ee340b3e.js	(from https://docy.farmui.com/)
20:14:44	101977/101977	---MCZ	200	added ('OK')	application/javascript	etag:W/%223f42af849d997a984094dfc8009fc5b4%22	https://docy.farmui.com/_next/static/chunks/227-6ad92adfe54588bf.js	C:/Users/pheldevbaba/Desktop/websiteler/5/docy.farmui.com/_next/static/chunks/227-6ad92adfe54588bf.js	(from https://docy.farmui.com/)
20:14:45	20210/20210	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bce395be4f824f9735028a6141cf6a5b%22	https://docy.farmui.com/_next/static/chunks/361-1fa1c16a7f72f14f.js	C:/Users/pheldevbaba/Desktop/websiteler/5/docy.farmui.com/_next/static/chunks/361-1fa1c16a7f72f14f.js	(from https://docy.farmui.com/)
20:14:45	13034/13034	---MCZ	200	added ('OK')	application/javascript	etag:W/%221b0a74c4f4b53cffd4f5a294c4d098d2%22	https://docy.farmui.com/_next/static/chunks/969-a0603422c65e25d6.js	C:/Users/pheldevbaba/Desktop/websiteler/5/docy.farmui.com/_next/static/chunks/969-a0603422c65e25d6.js	(from https://docy.farmui.com/)
20:14:45	102961/102961	---MCZ	200	added ('OK')	application/javascript	etag:W/%223add7a7dbb5aea9ce412cef67ba135d1%22	https://docy.farmui.com/_next/static/chunks/879-34844ec8fe52767e.js	C:/Users/pheldevbaba/Desktop/websiteler/5/docy.farmui.com/_next/static/chunks/879-34844ec8fe52767e.js	(from https://docy.farmui.com/)
